query,intent,entities,response
How do I get from Downtown to Union Station using metro?,route_query,"{'source': 'Downtown', 'destination': 'Union Station', 'date': 'this weekend', 'time': 'night', 'transport_mode': 'metro'}",You can take the metro from Downtown to Union Station. It usually takes about 58 minutes.
Is the metro from LA to San Diego running today?,status_query,"{'source': 'LA', 'destination': 'San Diego', 'date': 'today', 'time': 'evening', 'transport_mode': 'metro'}","Yes, the metro service from LA to San Diego is operating normally today."
How do I get from Brooklyn to LA using bus?,route_query,"{'source': 'Brooklyn', 'destination': 'LA', 'date': 'next Monday', 'time': 'morning', 'transport_mode': 'bus'}",You can take the bus from Brooklyn to LA. It usually takes about 47 minutes.
How do I get from Central Park to Times Square using train?,route_query,"{'source': 'Central Park', 'destination': 'Times Square', 'date': 'next Monday', 'time': 'late night', 'transport_mode': 'train'}",You can take the train from Central Park to Times Square. It usually takes about 32 minutes.
What time is the next bus from City Center to San Francisco this weekend early morning?,schedule_query,"{'source': 'City Center', 'destination': 'San Francisco', 'date': 'this weekend', 'time': 'early morning', 'transport_mode': 'bus'}",The next bus from City Center to San Francisco departs at 11:00 AM on this weekend.
How do I get from Brooklyn to Downtown using train?,route_query,"{'source': 'Brooklyn', 'destination': 'Downtown', 'date': 'tomorrow', 'time': 'night', 'transport_mode': 'train'}",You can take the train from Brooklyn to Downtown. It usually takes about 73 minutes.
How do I get from City Center to Brooklyn using metro?,route_query,"{'source': 'City Center', 'destination': 'Brooklyn', 'date': 'next Monday', 'time': 'evening', 'transport_mode': 'metro'}",You can take the metro from City Center to Brooklyn. It usually takes about 81 minutes.
Is the bus from City Center to Manhattan running today?,status_query,"{'source': 'City Center', 'destination': 'Manhattan', 'date': 'today', 'time': 'morning', 'transport_mode': 'bus'}","Yes, the bus service from City Center to Manhattan is operating normally today."
What time is the next bus from Times Square to San Diego next Monday late night?,schedule_query,"{'source': 'Times Square', 'destination': 'San Diego', 'date': 'next Monday', 'time': 'late night', 'transport_mode': 'bus'}",The next bus from Times Square to San Diego departs at 7:00 AM on next Monday.
How do I get from San Francisco to Downtown using train?,route_query,"{'source': 'San Francisco', 'destination': 'Downtown', 'date': 'tomorrow', 'time': 'early morning', 'transport_mode': 'train'}",You can take the train from San Francisco to Downtown. It usually takes about 22 minutes.
What time is the next metro from Manhattan to San Francisco tomorrow late night?,schedule_query,"{'source': 'Manhattan', 'destination': 'San Francisco', 'date': 'tomorrow', 'time': 'late night', 'transport_mode': 'metro'}",The next metro from Manhattan to San Francisco departs at 10:30 AM on tomorrow.
Is the metro from JFK Airport to City Center running tomorrow?,status_query,"{'source': 'JFK Airport', 'destination': 'City Center', 'date': 'tomorrow', 'time': 'morning', 'transport_mode': 'metro'}","Yes, the metro service from JFK Airport to City Center is operating normally tomorrow."
How do I get from Central Park to Manhattan using metro?,route_query,"{'source': 'Central Park', 'destination': 'Manhattan', 'date': 'next Monday', 'time': 'evening', 'transport_mode': 'metro'}",You can take the metro from Central Park to Manhattan. It usually takes about 27 minutes.
What time is the next metro from Times Square to Manhattan this weekend night?,schedule_query,"{'source': 'Times Square', 'destination': 'Manhattan', 'date': 'this weekend', 'time': 'night', 'transport_mode': 'metro'}",The next metro from Times Square to Manhattan departs at 3:30 PM on this weekend.
How do I get from Brooklyn to Downtown using bus?,route_query,"{'source': 'Brooklyn', 'destination': 'Downtown', 'date': 'today', 'time': 'afternoon', 'transport_mode': 'bus'}",You can take the bus from Brooklyn to Downtown. It usually takes about 58 minutes.
Is the bus from City Center to LA running today?,status_query,"{'source': 'City Center', 'destination': 'LA', 'date': 'today', 'time': 'evening', 'transport_mode': 'bus'}","Yes, the bus service from City Center to LA is operating normally today."
What time is the next train from Central Park to LA today early morning?,schedule_query,"{'source': 'Central Park', 'destination': 'LA', 'date': 'today', 'time': 'early morning', 'transport_mode': 'train'}",The next train from Central Park to LA departs at 2:45 AM on today.
What time is the next train from LA to San Francisco next Monday afternoon?,schedule_query,"{'source': 'LA', 'destination': 'San Francisco', 'date': 'next Monday', 'time': 'afternoon', 'transport_mode': 'train'}",The next train from LA to San Francisco departs at 5:30 PM on next Monday.
What time is the next metro from Union Station to Central Park this weekend early morning?,schedule_query,"{'source': 'Union Station', 'destination': 'Central Park', 'date': 'this weekend', 'time': 'early morning', 'transport_mode': 'metro'}",The next metro from Union Station to Central Park departs at 2:45 PM on this weekend.
Is the train from LA to Manhattan running this weekend?,status_query,"{'source': 'LA', 'destination': 'Manhattan', 'date': 'this weekend', 'time': 'afternoon', 'transport_mode': 'train'}","Yes, the train service from LA to Manhattan is operating normally this weekend."
How do I get from Downtown to JFK Airport using train?,route_query,"{'source': 'Downtown', 'destination': 'JFK Airport', 'date': 'this weekend', 'time': 'late night', 'transport_mode': 'train'}",You can take the train from Downtown to JFK Airport. It usually takes about 63 minutes.
What time is the next metro from Central Park to San Diego next Monday afternoon?,schedule_query,"{'source': 'Central Park', 'destination': 'San Diego', 'date': 'next Monday', 'time': 'afternoon', 'transport_mode': 'metro'}",The next metro from Central Park to San Diego departs at 1:30 PM on next Monday.
Is the train from Downtown to Times Square running tomorrow?,status_query,"{'source': 'Downtown', 'destination': 'Times Square', 'date': 'tomorrow', 'time': 'afternoon', 'transport_mode': 'train'}","Yes, the train service from Downtown to Times Square is operating normally tomorrow."
How do I get from JFK Airport to City Center using bus?,route_query,"{'source': 'JFK Airport', 'destination': 'City Center', 'date': 'tomorrow', 'time': 'late night', 'transport_mode': 'bus'}",You can take the bus from JFK Airport to City Center. It usually takes about 22 minutes.
How do I get from Central Park to Union Station using bus?,route_query,"{'source': 'Central Park', 'destination': 'Union Station', 'date': 'next Monday', 'time': 'afternoon', 'transport_mode': 'bus'}",You can take the bus from Central Park to Union Station. It usually takes about 48 minutes.
What time is the next bus from City Center to Brooklyn next Monday night?,schedule_query,"{'source': 'City Center', 'destination': 'Brooklyn', 'date': 'next Monday', 'time': 'night', 'transport_mode': 'bus'}",The next bus from City Center to Brooklyn departs at 4:15 PM on next Monday.
Is the train from Times Square to Union Station running this weekend?,status_query,"{'source': 'Times Square', 'destination': 'Union Station', 'date': 'this weekend', 'time': 'late night', 'transport_mode': 'train'}","Yes, the train service from Times Square to Union Station is operating normally this weekend."
Is the bus from Manhattan to City Center running this weekend?,status_query,"{'source': 'Manhattan', 'destination': 'City Center', 'date': 'this weekend', 'time': 'night', 'transport_mode': 'bus'}","Yes, the bus service from Manhattan to City Center is operating normally this weekend."
How do I get from San Diego to JFK Airport using train?,route_query,"{'source': 'San Diego', 'destination': 'JFK Airport', 'date': 'this weekend', 'time': 'early morning', 'transport_mode': 'train'}",You can take the train from San Diego to JFK Airport. It usually takes about 80 minutes.
Is the train from JFK Airport to San Diego running this weekend?,status_query,"{'source': 'JFK Airport', 'destination': 'San Diego', 'date': 'this weekend', 'time': 'evening', 'transport_mode': 'train'}","Yes, the train service from JFK Airport to San Diego is operating normally this weekend."
What time is the next train from Brooklyn to Times Square today afternoon?,schedule_query,"{'source': 'Brooklyn', 'destination': 'Times Square', 'date': 'today', 'time': 'afternoon', 'transport_mode': 'train'}",The next train from Brooklyn to Times Square departs at 4:15 AM on today.
Is the train from Union Station to Brooklyn running next Monday?,status_query,"{'source': 'Union Station', 'destination': 'Brooklyn', 'date': 'next Monday', 'time': 'early morning', 'transport_mode': 'train'}","Yes, the train service from Union Station to Brooklyn is operating normally next Monday."
What time is the next bus from City Center to San Diego next Monday night?,schedule_query,"{'source': 'City Center', 'destination': 'San Diego', 'date': 'next Monday', 'time': 'night', 'transport_mode': 'bus'}",The next bus from City Center to San Diego departs at 5:45 PM on next Monday.
How do I get from Brooklyn to Downtown using metro?,route_query,"{'source': 'Brooklyn', 'destination': 'Downtown', 'date': 'this weekend', 'time': 'late night', 'transport_mode': 'metro'}",You can take the metro from Brooklyn to Downtown. It usually takes about 89 minutes.
Is the train from Brooklyn to City Center running this weekend?,status_query,"{'source': 'Brooklyn', 'destination': 'City Center', 'date': 'this weekend', 'time': 'late night', 'transport_mode': 'train'}","Yes, the train service from Brooklyn to City Center is operating normally this weekend."
Is the bus from Union Station to Central Park running tomorrow?,status_query,"{'source': 'Union Station', 'destination': 'Central Park', 'date': 'tomorrow', 'time': 'afternoon', 'transport_mode': 'bus'}","Yes, the bus service from Union Station to Central Park is operating normally tomorrow."
Is the train from JFK Airport to Manhattan running next Monday?,status_query,"{'source': 'JFK Airport', 'destination': 'Manhattan', 'date': 'next Monday', 'time': 'night', 'transport_mode': 'train'}","Yes, the train service from JFK Airport to Manhattan is operating normally next Monday."
How do I get from San Francisco to San Diego using train?,route_query,"{'source': 'San Francisco', 'destination': 'San Diego', 'date': 'tomorrow', 'time': 'early morning', 'transport_mode': 'train'}",You can take the train from San Francisco to San Diego. It usually takes about 55 minutes.
What time is the next train from Union Station to JFK Airport tomorrow night?,schedule_query,"{'source': 'Union Station', 'destination': 'JFK Airport', 'date': 'tomorrow', 'time': 'night', 'transport_mode': 'train'}",The next train from Union Station to JFK Airport departs at 2:30 AM on tomorrow.
Is the bus from Brooklyn to Central Park running this weekend?,status_query,"{'source': 'Brooklyn', 'destination': 'Central Park', 'date': 'this weekend', 'time': 'early morning', 'transport_mode': 'bus'}","Yes, the bus service from Brooklyn to Central Park is operating normally this weekend."
What time is the next metro from City Center to Brooklyn this weekend early morning?,schedule_query,"{'source': 'City Center', 'destination': 'Brooklyn', 'date': 'this weekend', 'time': 'early morning', 'transport_mode': 'metro'}",The next metro from City Center to Brooklyn departs at 8:00 PM on this weekend.
How do I get from LA to Central Park using metro?,route_query,"{'source': 'LA', 'destination': 'Central Park', 'date': 'next Monday', 'time': 'morning', 'transport_mode': 'metro'}",You can take the metro from LA to Central Park. It usually takes about 26 minutes.
Is the metro from San Francisco to LA running today?,status_query,"{'source': 'San Francisco', 'destination': 'LA', 'date': 'today', 'time': 'evening', 'transport_mode': 'metro'}","Yes, the metro service from San Francisco to LA is operating normally today."
How do I get from Manhattan to LA using train?,route_query,"{'source': 'Manhattan', 'destination': 'LA', 'date': 'next Monday', 'time': 'afternoon', 'transport_mode': 'train'}",You can take the train from Manhattan to LA. It usually takes about 42 minutes.
Is the train from Manhattan to Union Station running today?,status_query,"{'source': 'Manhattan', 'destination': 'Union Station', 'date': 'today', 'time': 'early morning', 'transport_mode': 'train'}","Yes, the train service from Manhattan to Union Station is operating normally today."
Is the bus from Union Station to Downtown running next Monday?,status_query,"{'source': 'Union Station', 'destination': 'Downtown', 'date': 'next Monday', 'time': 'night', 'transport_mode': 'bus'}","Yes, the bus service from Union Station to Downtown is operating normally next Monday."
What time is the next metro from Union Station to Central Park tomorrow night?,schedule_query,"{'source': 'Union Station', 'destination': 'Central Park', 'date': 'tomorrow', 'time': 'night', 'transport_mode': 'metro'}",The next metro from Union Station to Central Park departs at 1:15 PM on tomorrow.
What time is the next metro from Union Station to Times Square next Monday early morning?,schedule_query,"{'source': 'Union Station', 'destination': 'Times Square', 'date': 'next Monday', 'time': 'early morning', 'transport_mode': 'metro'}",The next metro from Union Station to Times Square departs at 5:45 PM on next Monday.
How do I get from Brooklyn to JFK Airport using bus?,route_query,"{'source': 'Brooklyn', 'destination': 'JFK Airport', 'date': 'next Monday', 'time': 'night', 'transport_mode': 'bus'}",You can take the bus from Brooklyn to JFK Airport. It usually takes about 61 minutes.
How do I get from JFK Airport to Central Park using bus?,route_query,"{'source': 'JFK Airport', 'destination': 'Central Park', 'date': 'this weekend', 'time': 'early morning', 'transport_mode': 'bus'}",You can take the bus from JFK Airport to Central Park. It usually takes about 28 minutes.
How do I get from JFK Airport to Downtown using train?,route_query,"{'source': 'JFK Airport', 'destination': 'Downtown', 'date': 'this weekend', 'time': 'afternoon', 'transport_mode': 'train'}",You can take the train from JFK Airport to Downtown. It usually takes about 34 minutes.
How do I get from Manhattan to Downtown using bus?,route_query,"{'source': 'Manhattan', 'destination': 'Downtown', 'date': 'today', 'time': 'early morning', 'transport_mode': 'bus'}",You can take the bus from Manhattan to Downtown. It usually takes about 75 minutes.
Is the train from Union Station to Times Square running this weekend?,status_query,"{'source': 'Union Station', 'destination': 'Times Square', 'date': 'this weekend', 'time': 'night', 'transport_mode': 'train'}","Yes, the train service from Union Station to Times Square is operating normally this weekend."
How do I get from Central Park to JFK Airport using train?,route_query,"{'source': 'Central Park', 'destination': 'JFK Airport', 'date': 'next Monday', 'time': 'early morning', 'transport_mode': 'train'}",You can take the train from Central Park to JFK Airport. It usually takes about 32 minutes.
What time is the next metro from Times Square to JFK Airport this weekend early morning?,schedule_query,"{'source': 'Times Square', 'destination': 'JFK Airport', 'date': 'this weekend', 'time': 'early morning', 'transport_mode': 'metro'}",The next metro from Times Square to JFK Airport departs at 9:00 AM on this weekend.
How do I get from Downtown to LA using metro?,route_query,"{'source': 'Downtown', 'destination': 'LA', 'date': 'next Monday', 'time': 'night', 'transport_mode': 'metro'}",You can take the metro from Downtown to LA. It usually takes about 64 minutes.
How do I get from Union Station to San Diego using train?,route_query,"{'source': 'Union Station', 'destination': 'San Diego', 'date': 'next Monday', 'time': 'early morning', 'transport_mode': 'train'}",You can take the train from Union Station to San Diego. It usually takes about 57 minutes.
Is the bus from Union Station to Central Park running today?,status_query,"{'source': 'Union Station', 'destination': 'Central Park', 'date': 'today', 'time': 'night', 'transport_mode': 'bus'}","Yes, the bus service from Union Station to Central Park is operating normally today."
What time is the next bus from Downtown to San Diego next Monday afternoon?,schedule_query,"{'source': 'Downtown', 'destination': 'San Diego', 'date': 'next Monday', 'time': 'afternoon', 'transport_mode': 'bus'}",The next bus from Downtown to San Diego departs at 10:30 PM on next Monday.
What time is the next metro from City Center to San Diego this weekend morning?,schedule_query,"{'source': 'City Center', 'destination': 'San Diego', 'date': 'this weekend', 'time': 'morning', 'transport_mode': 'metro'}",The next metro from City Center to San Diego departs at 8:00 AM on this weekend.
What time is the next train from Downtown to Union Station this weekend morning?,schedule_query,"{'source': 'Downtown', 'destination': 'Union Station', 'date': 'this weekend', 'time': 'morning', 'transport_mode': 'train'}",The next train from Downtown to Union Station departs at 12:15 AM on this weekend.
Is the bus from Times Square to LA running today?,status_query,"{'source': 'Times Square', 'destination': 'LA', 'date': 'today', 'time': 'late night', 'transport_mode': 'bus'}","Yes, the bus service from Times Square to LA is operating normally today."
How do I get from San Diego to Downtown using bus?,route_query,"{'source': 'San Diego', 'destination': 'Downtown', 'date': 'next Monday', 'time': 'morning', 'transport_mode': 'bus'}",You can take the bus from San Diego to Downtown. It usually takes about 60 minutes.
What time is the next bus from San Diego to Central Park today evening?,schedule_query,"{'source': 'San Diego', 'destination': 'Central Park', 'date': 'today', 'time': 'evening', 'transport_mode': 'bus'}",The next bus from San Diego to Central Park departs at 4:30 AM on today.
What time is the next train from City Center to Brooklyn this weekend morning?,schedule_query,"{'source': 'City Center', 'destination': 'Brooklyn', 'date': 'this weekend', 'time': 'morning', 'transport_mode': 'train'}",The next train from City Center to Brooklyn departs at 6:30 PM on this weekend.
How do I get from Brooklyn to JFK Airport using bus?,route_query,"{'source': 'Brooklyn', 'destination': 'JFK Airport', 'date': 'next Monday', 'time': 'evening', 'transport_mode': 'bus'}",You can take the bus from Brooklyn to JFK Airport. It usually takes about 38 minutes.
Is the train from JFK Airport to San Diego running tomorrow?,status_query,"{'source': 'JFK Airport', 'destination': 'San Diego', 'date': 'tomorrow', 'time': 'early morning', 'transport_mode': 'train'}","Yes, the train service from JFK Airport to San Diego is operating normally tomorrow."
Is the metro from San Francisco to Downtown running tomorrow?,status_query,"{'source': 'San Francisco', 'destination': 'Downtown', 'date': 'tomorrow', 'time': 'morning', 'transport_mode': 'metro'}","Yes, the metro service from San Francisco to Downtown is operating normally tomorrow."
Is the metro from JFK Airport to Union Station running this weekend?,status_query,"{'source': 'JFK Airport', 'destination': 'Union Station', 'date': 'this weekend', 'time': 'early morning', 'transport_mode': 'metro'}","Yes, the metro service from JFK Airport to Union Station is operating normally this weekend."
How do I get from Brooklyn to Manhattan using bus?,route_query,"{'source': 'Brooklyn', 'destination': 'Manhattan', 'date': 'this weekend', 'time': 'early morning', 'transport_mode': 'bus'}",You can take the bus from Brooklyn to Manhattan. It usually takes about 62 minutes.
How do I get from Central Park to Downtown using metro?,route_query,"{'source': 'Central Park', 'destination': 'Downtown', 'date': 'this weekend', 'time': 'late night', 'transport_mode': 'metro'}",You can take the metro from Central Park to Downtown. It usually takes about 73 minutes.
What time is the next train from LA to Union Station today evening?,schedule_query,"{'source': 'LA', 'destination': 'Union Station', 'date': 'today', 'time': 'evening', 'transport_mode': 'train'}",The next train from LA to Union Station departs at 2:45 PM on today.
What time is the next metro from San Diego to Union Station today late night?,schedule_query,"{'source': 'San Diego', 'destination': 'Union Station', 'date': 'today', 'time': 'late night', 'transport_mode': 'metro'}",The next metro from San Diego to Union Station departs at 9:00 AM on today.
How do I get from City Center to Times Square using metro?,route_query,"{'source': 'City Center', 'destination': 'Times Square', 'date': 'next Monday', 'time': 'early morning', 'transport_mode': 'metro'}",You can take the metro from City Center to Times Square. It usually takes about 82 minutes.
How do I get from Central Park to San Diego using train?,route_query,"{'source': 'Central Park', 'destination': 'San Diego', 'date': 'this weekend', 'time': 'early morning', 'transport_mode': 'train'}",You can take the train from Central Park to San Diego. It usually takes about 90 minutes.
What time is the next train from Manhattan to San Diego today early morning?,schedule_query,"{'source': 'Manhattan', 'destination': 'San Diego', 'date': 'today', 'time': 'early morning', 'transport_mode': 'train'}",The next train from Manhattan to San Diego departs at 2:45 PM on today.
What time is the next train from JFK Airport to Times Square next Monday afternoon?,schedule_query,"{'source': 'JFK Airport', 'destination': 'Times Square', 'date': 'next Monday', 'time': 'afternoon', 'transport_mode': 'train'}",The next train from JFK Airport to Times Square departs at 3:15 PM on next Monday.
How do I get from JFK Airport to San Francisco using train?,route_query,"{'source': 'JFK Airport', 'destination': 'San Francisco', 'date': 'next Monday', 'time': 'late night', 'transport_mode': 'train'}",You can take the train from JFK Airport to San Francisco. It usually takes about 85 minutes.
Is the train from City Center to Times Square running next Monday?,status_query,"{'source': 'City Center', 'destination': 'Times Square', 'date': 'next Monday', 'time': 'night', 'transport_mode': 'train'}","Yes, the train service from City Center to Times Square is operating normally next Monday."
Is the bus from Downtown to Times Square running next Monday?,status_query,"{'source': 'Downtown', 'destination': 'Times Square', 'date': 'next Monday', 'time': 'late night', 'transport_mode': 'bus'}","Yes, the bus service from Downtown to Times Square is operating normally next Monday."
What time is the next train from Brooklyn to Union Station next Monday late night?,schedule_query,"{'source': 'Brooklyn', 'destination': 'Union Station', 'date': 'next Monday', 'time': 'late night', 'transport_mode': 'train'}",The next train from Brooklyn to Union Station departs at 11:30 AM on next Monday.
What time is the next train from Times Square to Manhattan this weekend late night?,schedule_query,"{'source': 'Times Square', 'destination': 'Manhattan', 'date': 'this weekend', 'time': 'late night', 'transport_mode': 'train'}",The next train from Times Square to Manhattan departs at 6:45 AM on this weekend.
What time is the next metro from San Francisco to Union Station today late night?,schedule_query,"{'source': 'San Francisco', 'destination': 'Union Station', 'date': 'today', 'time': 'late night', 'transport_mode': 'metro'}",The next metro from San Francisco to Union Station departs at 1:15 AM on today.
What time is the next bus from Downtown to Union Station next Monday late night?,schedule_query,"{'source': 'Downtown', 'destination': 'Union Station', 'date': 'next Monday', 'time': 'late night', 'transport_mode': 'bus'}",The next bus from Downtown to Union Station departs at 12:00 AM on next Monday.
Is the train from San Diego to Times Square running today?,status_query,"{'source': 'San Diego', 'destination': 'Times Square', 'date': 'today', 'time': 'night', 'transport_mode': 'train'}","Yes, the train service from San Diego to Times Square is operating normally today."
What time is the next train from Union Station to Brooklyn next Monday afternoon?,schedule_query,"{'source': 'Union Station', 'destination': 'Brooklyn', 'date': 'next Monday', 'time': 'afternoon', 'transport_mode': 'train'}",The next train from Union Station to Brooklyn departs at 6:00 PM on next Monday.
How do I get from San Diego to Downtown using metro?,route_query,"{'source': 'San Diego', 'destination': 'Downtown', 'date': 'tomorrow', 'time': 'night', 'transport_mode': 'metro'}",You can take the metro from San Diego to Downtown. It usually takes about 29 minutes.
What time is the next train from JFK Airport to San Diego this weekend afternoon?,schedule_query,"{'source': 'JFK Airport', 'destination': 'San Diego', 'date': 'this weekend', 'time': 'afternoon', 'transport_mode': 'train'}",The next train from JFK Airport to San Diego departs at 8:30 AM on this weekend.
Is the metro from Union Station to Manhattan running this weekend?,status_query,"{'source': 'Union Station', 'destination': 'Manhattan', 'date': 'this weekend', 'time': 'morning', 'transport_mode': 'metro'}","Yes, the metro service from Union Station to Manhattan is operating normally this weekend."
What time is the next metro from Downtown to LA this weekend night?,schedule_query,"{'source': 'Downtown', 'destination': 'LA', 'date': 'this weekend', 'time': 'night', 'transport_mode': 'metro'}",The next metro from Downtown to LA departs at 9:15 PM on this weekend.
How do I get from Union Station to San Francisco using train?,route_query,"{'source': 'Union Station', 'destination': 'San Francisco', 'date': 'tomorrow', 'time': 'evening', 'transport_mode': 'train'}",You can take the train from Union Station to San Francisco. It usually takes about 74 minutes.
What time is the next train from Times Square to Manhattan this weekend night?,schedule_query,"{'source': 'Times Square', 'destination': 'Manhattan', 'date': 'this weekend', 'time': 'night', 'transport_mode': 'train'}",The next train from Times Square to Manhattan departs at 6:15 PM on this weekend.
Is the metro from San Diego to Central Park running tomorrow?,status_query,"{'source': 'San Diego', 'destination': 'Central Park', 'date': 'tomorrow', 'time': 'night', 'transport_mode': 'metro'}","Yes, the metro service from San Diego to Central Park is operating normally tomorrow."
What time is the next metro from LA to City Center tomorrow afternoon?,schedule_query,"{'source': 'LA', 'destination': 'City Center', 'date': 'tomorrow', 'time': 'afternoon', 'transport_mode': 'metro'}",The next metro from LA to City Center departs at 7:30 PM on tomorrow.
How do I get from LA to JFK Airport using train?,route_query,"{'source': 'LA', 'destination': 'JFK Airport', 'date': 'tomorrow', 'time': 'late night', 'transport_mode': 'train'}",You can take the train from LA to JFK Airport. It usually takes about 38 minutes.
Is the metro from City Center to LA running tomorrow?,status_query,"{'source': 'City Center', 'destination': 'LA', 'date': 'tomorrow', 'time': 'late night', 'transport_mode': 'metro'}","Yes, the metro service from City Center to LA is operating normally tomorrow."
